label,x,y,z
#0-0,-0.0104657,-0.009301,-0.0197122
#0-1,-0.0037963,0.0014606,-0.0238341
#0-2,-0.0129507,0.009301,-0.0181764
#0-3,-0.0196201,-0.0014606,-0.0140545
#1-0,0.0060207,0.0066286,-0.0224593
#1-1,0.0060695,-0.0066861,-0.0224291
#1-2,0.0173957,-0.0066286,-0.0154292
#1-3,0.0173469,0.0066861,-0.0154594
#2-0,-0.0092961,0.0181599,-0.0129773
#2-1,0.0014919,0.0140571,-0.0196159
#2-2,0.0092961,0.0197286,-0.0104391
#2-3,-0.0014919,0.0238315,-0.0038005
#3-0,-0.0233465,0.0045853,-0.0043043
#3-1,-0.0166814,0.0153697,-0.0083735
#3-2,-0.0145421,0.0188311,0.0043043
#3-3,-0.0212072,0.0080468,0.0083735
#4-0,-0.016722,-0.0153039,-0.0084127
#4-1,-0.0233671,-0.0045519,-0.004227
#4-2,-0.0211666,-0.0081125,0.0084127
#4-3,-0.0145214,-0.0188645,0.004227
#5-0,0.0014196,-0.0140511,-0.0196255
#5-1,-0.0093074,-0.018198,-0.0129157
#5-2,-0.0014196,-0.0238374,-0.0037909
#5-3,0.0093074,-0.0196906,-0.0105007
#6-0,0.0080765,0.0083914,0.0211888
#6-1,0.0188464,0.0042693,0.0145327
#6-2,0.0153399,-0.0083914,0.0166998
#6-3,0.0045701,-0.0042693,0.0233559
#7-0,0.0211661,-0.0081132,-0.0084132
#7-1,0.0145212,-0.0188649,-0.0042262
#7-2,0.0167224,-0.0153032,0.0084132
#7-3,0.0233674,-0.0045516,0.0042262
#8-0,0.0145437,0.0188284,-0.0043105
#8-1,0.0212104,0.0080415,-0.0083703
#8-2,0.0233448,0.004588,0.0043105
#8-3,0.0166781,0.0153749,0.0083703
#9-0,-0.0092961,0.0197286,0.0104391
#9-1,0.0014919,0.0238315,0.0038005
#9-2,0.0092961,0.0181599,0.0129773
#9-3,-0.0014919,0.0140571,0.0196159
#10-0,-0.0173916,-0.0066335,0.0154318
#10-1,-0.017351,0.0066812,0.0154568
#10-2,-0.0060248,0.0066335,0.0224568
#10-3,-0.0060654,-0.0066812,0.0224317
#11-0,0.0014195,-0.0238374,0.0037909
#11-1,-0.0093074,-0.0196906,0.0105007
#11-2,-0.0014195,-0.0140511,0.0196255
#11-3,0.0093074,-0.018198,0.0129157
